Name	"R1node.degree"	"R1node.betw"	"R1node.stress"	"R1node.evcent"	"R1Clustering.Coefficient"	R1No. module	R1Zi	R1Pi
427	4	227.320743145743	576	0.00267940318437329	0.5	1	-0.341279063282745	0.375
372	2	366	722	0.000553946347942178	0	8	1	0
10	7	76.6043650793651	227	0.00441676795687368	0.523809523809524	1	1.23385507494531	0
17	9	339.186379626511	1920	0.344111823788189	0.472222222222222	0	1.71325555216051	0
419	4	60.2619047619048	103	0.000482183450474771	0	3	0.388181570282322	0
378	1	0	0	0.000517738460717585	0	1	-1.12884613239677	0
54	1	0	0	2.88312998823727e-114	0	14	0	0
33	2	0	0	0.00245366564220904	1	4	0	0
335	7	647.536834904227	2672	0.00432318876626337	0.380952380952381	1	1.23385507494531	0
432	5	1519.42000762919	5341	0.0344067384159443	0.3	3	-0.105867700986088	0.48
437	1	0	0	2.98108653717514e-139	0	19	0	0
141	1	0	0	2.98108653717514e-139	0	17	0	0
224	2	0	0	0.0205972456035608	1	9	-0.934538627031996	0
299	1	0	0	2.98108653717514e-139	0	18	0	0
143	2	546	1080	0.00366119759004921	0	8	-1	0.5
25	3	303.537878787879	662	0.00229871124986135	0	4	1.6583123951777	0
48	1	0	0	0.000843108459155061	0	1	-1.12884613239677	0
148	2	366	1498	0.000654106910240149	0	1	-0.735062597839759	0
223	2	0	0	0.00148258364831687	1	1	-0.735062597839759	0
225	4	460.553710745739	1369	0.00582906638456998	0	3	-0.105867700986088	0.375
426	2	114.058008658009	218	0.000931495316828821	0	4	0	0
29	1	0	0	0.000340019573906398	0	4	-1.6583123951777	0
46	3	11.252380952381	44	0.00310635645586431	0.333333333333333	1	-0.341279063282745	0
161	9	2332.54859750719	11413	0.0340984214806301	0.138888888888889	3	1.87032938408755	0.345679012345679
380	1	0	0	2.98108653717514e-139	0	16	0	0
436	5	2516.35611052025	6410	0.0449429546167217	0.2	9	-0.934538627031996	0.72
64	8	1410.69623217751	4729	0.124537510966633	0.25	0	0.184068778331295	0.46875
329	2	0.333333333333333	1	0.0284539559614623	0	6	-0.732409612894043	0.5
358	5	1151.97287199385	2754	0.00592649848007675	0.2	1	0.446288005831283	0
410	2	0	0	5.28690333601405e-06	1	12	0	0
